,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.07064606713188155,-8.882445088674785e-05,-0.052,-6.195213811952149e-06,0.0,7.02039449346394
ii,0.46263341166713307,0.00018043612305753976,0.251,-1.533804952838038e-05,-0.00024999999999997247,2.012871337648254
iii,0.2673342580120688,-0.0004354564543532998,0.2455,-9.149085091490933e-06,-0.00024999999999997247,10.835336440314535
avr,0.1997630703923994,0.0002036504682854727,-0.108,1.076142385761438e-05,0.0002500000000000002,2.0638440141674077
avl,0.053349017665824824,-7.945455454476971e-05,-0.042,1.4748525147485757e-06,0.0,8.514637983941672
avf,0.3472687201394794,-0.00040598023531164724,0.2425,-1.2238359497383526e-05,0.0,4.318320366332519
v1,0.08723358154588419,-0.00031246458687392357,0.0415,2.0831250208418214e-08,0.0005000000000000004,26.810548855845873
v2,0.2983886334879236,-0.0004675532446756602,0.094,1.2811218878111878e-06,0.0005000000000000004,122.70416707740154
v3,0.24556071031841098,-0.00020004249575075725,0.113,-1.529013765290154e-06,0.0005000000000000004,110.88795311142862
v4,0.1174393222697158,-0.00016292120787837934,0.0025,4.047511915475212e-06,0.0005000000000000004,38.12519487046875
v5,0.03598187165998944,7.416341699250643e-05,0.0025,-2.530996900309972e-06,0.0002500000000000002,4.427840993363276
v6,0.03558035166756755,4.988667799841002e-05,0.003,-2.145618771456142e-06,0.0,5.975111267314183
vx,0.01860355610620571,6.899726694001336e-05,-0.003,-9.5823750958239e-08,0.0,5.364546055058457
vy,0.07741289195616115,-3.813785287975615e-05,0.067,-2.662233776622338e-06,0.0,2.444758083529069
vz,0.04506527863610489,-0.00016502516415047778,-0.049,1.149885011498751e-06,-0.0002500000000000002,19.391709408473517
