,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.1312113463258466,0.00010849392361264868,0.0415,8.836805555555403e-06,0.0,4.032546920908082
ii,0.02111484503801259,-0.00019586371527799957,-0.0095,2.07031250000002e-06,0.0,2.5880539695208604
iii,0.09681157774004069,0.00023720920138785013,-0.0485,-6.757812500000042e-06,-0.0002500000000000002,5.259398219162349
avr,0.051951469415796515,1.6145833330455547e-06,-0.016,-5.4557291666664754e-06,0.0,2.521515346953593
avl,0.1087282080806723,-6.467447916648183e-05,0.047,7.797309027777731e-06,0.0,3.068629536431717
avf,0.02617089896770784,3.995659722170214e-05,0.0015,-2.3415798611110937e-06,0.0,3.38106504189846
v1,0.05279495461378923,-0.00012793402777795394,0.028,4.882812499999446e-07,0.0,25.540646337110026
v2,0.08121333164341446,-0.0002531987847220898,-0.0005,-1.1740451388888208e-06,0.0,42.82596050051407
v3,0.0790965764127063,0.0001687630208337215,0.0125,-3.28125e-06,0.0002500000000000002,28.611087554832068
v4,0.05132298066282916,-6.905815972179371e-05,0.007,-2.619357638888837e-06,0.0004999999999999866,16.05645251519247
v5,0.015882053536397264,-0.0001432769097221208,-0.004,-3.515624999999229e-07,0.0005,2.2195656414583684
v6,0.02365388162102315,0.00019388454861210056,-0.0345,-3.765190972222149e-06,0.0,1.5938429724589307
vx,0.011140445927638435,-9.207465277785231e-05,-0.024,-1.0763888888888814e-06,0.0,2.3081044974727534
vy,0.007115445397772895,-5.976128472244548e-05,0.001,-3.90625000000078e-08,0.0,2.593666322809754
vz,0.023064012477429993,3.0902777777304817e-06,-0.0175,5.164930555555427e-07,-0.0002500000000000002,10.77143078946498
