,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.4133075171688897,-0.00012904542878837717,-0.1105,-1.1813401993134266e-05,-0.0002500000000000002,2.236519677903182
ii,0.20551062303268386,-4.352481418469663e-05,0.005,8.815785088157798e-06,0.0,3.7462228195642546
iii,0.8814106542991464,0.0001706037729559619,0.4935,2.0629187081291937e-05,0.00024999999999997247,0.5522839300799282
avr,0.08904588328898327,-0.00018286088057997788,0.0775,1.493600639936017e-06,0.0002499999999999985,2.8797048290209877
avl,0.5960484564766291,-0.00012855381127539775,-0.268,-1.622546078725429e-05,-0.0002500000000000002,0.43467061348233094
avf,0.4399814138890511,-4.87826217318942e-05,0.342,1.4719361397193519e-05,0.0,1.5399934006055376
v1,0.20294886255653727,-0.00010338966103421693,0.1725,1.032605072826026e-05,0.0,8.844439110900344
v2,0.13289395429582931,-0.0001630753591331848,0.092,6.309785688097653e-06,0.0002500000000000002,8.891093046122869
v3,0.36738165517067684,-0.00019113088690865768,0.2895,1.6460853914608495e-05,0.0,14.30337019884835
v4,0.2549862628709531,0.0001771406192732505,0.1555,1.1315535113155515e-05,0.0,20.123399290682688
v5,0.3677402396397106,-7.23011032241347e-05,0.1725,1.278830450288294e-05,0.0,25.615233056798726
v6,0.39098186820365954,-5.0753258005615286e-05,0.2265,1.387569576375688e-05,0.0,21.457568920249294
vx,0.07530359249685581,-8.209179082086279e-05,-0.0305,-5.707762557077637e-07,0.0,17.257478612444388
vy,0.05623263320992092,-9.392394094073596e-05,0.036,2.7080625270806253e-06,0.0,1.9128177482271345
vz,0.031523668722836046,0.00022035296470353577,0.02,3.028863780288746e-06,0.0,5.4711989270128205
