,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.006760336819009279,-8.307291666755276e-06,-0.0055,-1.3736979166666509e-06,0.0,1.605666002289975
ii,0.03676215648567579,9.996093750010967e-05,0.0195,6.191406250000102e-06,0.0005000000000000004,10.871171019870138
iii,0.05097713366365429,0.00011096354166675022,0.0245,7.552083333333392e-06,0.0004999999999999987,11.496755085365079
avr,0.009018413533843276,0.00020427083333333132,-0.0105,-2.38932291666666e-06,-0.0002500000000000002,3.306727879849656
avl,0.01968008089348704,0.00019088541666681006,-0.0185,-4.459635416666652e-06,-0.00024999999999999675,3.8224036745568024
avf,0.042178279510599534,0.00010545572916653837,0.02,6.875000000000131e-06,0.0005,10.81101159257793
v1,0.026684592462866974,-0.00019446614583336206,0.0175,-1.0104166666666552e-05,0.0,12.139890918317866
v2,0.0971214614575177,0.00015631510416659847,0.048,-1.7454427083333375e-05,0.0,48.887302484296605
v3,0.13432008226043435,-0.0001522786458334354,0.059,-2.388671875000013e-05,0.0,68.246286056872
v4,0.07489157934652164,-6.33984375000982e-05,0.054,-1.728515625000003e-05,0.0,39.1705627981608
v5,0.041723020761206715,0.00030071614583329994,0.047,-1.2532552083333407e-05,0.0,22.797211911243075
v6,0.017551671719183006,-0.00015835937499971044,0.0275,-8.079427083333392e-06,0.0,8.366814589507479
vx,0.0130612081766248,0.0001243229166666533,0.02,-3.990885416666655e-06,0.0,6.345633969304901
vy,0.02536338881291704,-0.0001917968750000008,0.027,5.013020833334597e-07,0.0002500000000000002,6.975501451287572
vz,0.05386837267562887,-0.0001253906249999831,-0.034,1.2005208333333243e-05,-0.00025,26.252179480903916
