,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,1.9486106178767744,-0.00010954729365789947,-0.49124999999999996,4.0432302429367745e-05,0.0,1.9350731466196012
ii,1.9416830441641462,0.00019992359387258145,-0.34,3.925582162640883e-05,0.00024999999999997247,8.427946771207411
iii,0.9614871364909867,-4.206678593568236e-06,0.1735,-1.176480802959197e-06,0.0,5.606768757474906
avr,1.7046958362490952,0.00021116310972454878,0.67625,-3.984406202788808e-05,0.0,3.701119922043751
avl,0.969429156078181,0.00021689356972346067,0.27425,2.079896504419414e-05,0.0,1.5862320892565358
avf,0.9643891076775124,-0.00017208310903427094,0.145,1.9045096983693945e-05,0.0,6.573043794593093
v1,4.459244620952362,0.00030487349575435976,-1.0045,4.8526577178877076e-05,0.00024999999999986144,18.65391557387654
v2,4.852530274422468,0.00020243718200174256,-1.0045,4.9030163057633256e-05,0.00024999999999997247,58.86074770311833
v3,3.9375330178982946,2.7771024718167426e-05,-0.917,4.519683261847241e-05,0.0,23.838211225767587
v4,3.918791410082555,0.00018361783041914232,-0.984,4.650138051990929e-05,0.0,1.7859280487866147
v5,4.11463174761794,0.00013676697866039404,-1.0005,4.858952541372172e-05,0.00024999999999997247,4.603161879189219
v6,3.8266783890820295,-6.58134648655277e-05,-0.935,4.7968725580425704e-05,0.00024999999999997247,8.11878524414495
vx,0.03659756822955934,-0.0001562114713386601,-0.0625,4.5127372497265365e-06,0.0,3.548693513646805
vy,0.4148452454028219,-2.035615676881719e-05,0.115,-8.378627120704145e-06,0.0,5.807872181165864
vz,0.22724397787861772,0.00010765450535882449,0.1645,-9.694028166079036e-06,0.0,8.14683506016957
