,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.04942236499145487,0.00034111979166686875,-0.04975,-5.885416666666793e-06,-0.0002499999999999998,35.06485632972269
ii,0.08254718662426762,9.647135416727262e-05,0.053,1.9309895833333225e-05,0.0004999999999999987,8.492751655746986
iii,0.11110917888635022,-0.0001534765625018539,0.101,2.5201822916666476e-05,0.0005000000000000004,33.4607775465471
avr,0.03822786472319102,-0.0001728385416666384,0.0165,-6.725260416666637e-06,0.0,13.548027209779299
avl,0.05964980186828278,0.00020045572916666313,-0.053,-1.5546874999999905e-05,0.0,32.16500940036779
avf,0.08446240070001124,-2.694010416757788e-05,0.09,2.2278645833333372e-05,0.0005000000000000004,11.719177958954214
v1,0.3049013946905361,-3.078124999936165e-05,0.1135,-1.5052083333333399e-05,0.0005000000000000004,237.07077640621955
v2,0.28602024835347245,0.00013282552083349066,0.0485,-1.3639322916666433e-05,0.0002500000000000002,244.09052333586834
v3,0.310045900516201,0.00011367187500082652,0.0455,-1.6048177083333348e-05,0.0002500000000000002,262.8680996147085
v4,0.21950935230822927,-0.00017347656250048027,0.07875,-1.8854166666666368e-05,0.00025,166.0047416767454
v5,0.07275458103262569,-0.00015654947916671411,0.0195,-1.6992187500000073e-05,0.0,46.950854411501936
v6,0.04695279040982263,-4.382812500058887e-05,-0.01,-2.055338541666671e-05,0.0,1.7175322616529278
vx,0.023777847019505718,3.7656249999983267e-05,-0.021,-7.4153645833333305e-06,0.0,14.05275183057304
vy,0.087881606232297,-0.00018391927083262358,0.083,2.709635416666673e-05,0.0002500000000000002,5.789090736477633
vz,0.3042306439899556,0.00020691406250011074,-0.0875,-1.1393229166667724e-06,-0.0005000000000000004,275.2277743646557
