,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.1200989795322041,-1.3546006943272714e-05,0.0465,6.82508680555562e-06,0.0,5.707285587867242
ii,0.4611216895230997,-0.0002373480902758924,-0.0255,2.036458333333322e-05,0.00024999999999997247,5.178709138823002
iii,0.22217817949771484,-7.619791666591757e-05,0.066,1.3528645833333214e-05,0.00024999999999997247,3.161377049987294
avr,0.23513096693289218,-5.105902778071065e-05,0.0205,-1.3598090277777678e-05,0.0,4.885122876542807
avl,0.055921838458528376,0.00020439670138912576,-0.0225,-3.350694444444344e-06,0.0,3.214601857891742
avf,0.31159098499275645,-0.0001569314236084626,0.057,1.694878472222227e-05,0.00024999999999997247,2.5956561559568403
v1,0.08230227173223609,0.00012766927083421683,-0.026,-4.722222222222122e-06,0.0,6.108502221441406
v2,0.19301975570123722,0.00018839409721844777,0.038,-1.1254340277777842e-05,0.0002500000000000002,39.578594240526215
v3,0.2324339917107469,-7.018229166009299e-06,-0.0265,-7.690972222222261e-06,0.0002500000000000002,110.1183527497476
v4,0.2652717063203091,0.00024121093749832675,-0.0235,-1.345269097222208e-05,0.0,113.67934007174792
v5,0.20755016023650952,0.0002023784722218665,-0.1085,-6.228298611110961e-06,0.0,70.23387851712317
v6,0.0892028349286097,-0.00014191840277759154,-0.0545,-2.46744791666674e-06,0.0,15.881118963740882
vx,0.08846894993953859,6.365017361134668e-05,0.005,6.814236111111312e-07,0.0,19.62896841100012
vy,0.09061891969454858,0.00020143663194463344,0.038,7.026909722222219e-06,0.00024999999999997247,2.816459137810757
vz,0.05950023376735106,-7.004774305575777e-05,0.0115,-8.897569444442437e-08,-0.00025,25.29264475994989
