,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.04204809108732353,-5.216579861016033e-05,-0.0495,5.31032986111103e-06,0.0002499999999999998,3.6383515404134763
ii,0.02685455700891476,-6.460503472217065e-05,-0.0275,7.834201388888257e-07,0.0,6.786666408839984
iii,0.03652676912882391,0.00013804687499917098,0.0155,-4.5312499999999805e-06,0.0,1.5978936570209348
avr,0.02530143295300886,-0.00018758246527723142,0.0305,-3.0447048611110985e-06,0.0,4.2418226269329615
avl,0.03257430922124874,-0.00011729600694202281,-0.0305,4.913194444444391e-06,0.0,1.0788450657521003
avf,0.02117104632820395,4.8411458333259225e-05,-0.0115,-1.8771701388889629e-06,0.0,3.5639340474903882
v1,0.03555901262014473,-0.00014528645833285575,-0.011,-4.446614583333249e-06,0.0,2.357599549235673
v2,0.06055929682660014,-0.00027501302083246087,-0.01,-5.058593750000059e-06,0.0002500000000000002,16.159464413709546
v3,0.04806259347578888,1.2617187499906051e-05,-0.0405,-1.319444444444418e-06,0.0002500000000000002,29.40538860681157
v4,0.07746032285508815,-8.851562499878458e-05,-0.0325,-5.55772569444439e-06,0.0002500000000000002,29.919924418403845
v5,0.10241884020602028,5.075520833208994e-05,-0.037,-6.6449652777779515e-06,0.0002500000000000002,21.31136088186845
v6,0.10140888864132981,-1.5802951386930604e-05,-0.0445,-6.14583333333331e-06,0.0002500000000000002,15.113077177047984
vx,0.05585124254415239,0.00020177517361111345,-0.0545,9.657118055554917e-07,0.0002500000000000002,15.156896901607473
vy,0.01799837511810725,-0.00031965277777793664,-0.0205,-1.041666666666705e-06,0.0,4.709634178150028
vz,0.018289468804611565,-6.950086805490063e-05,0.0165,3.687065972222223e-06,-0.0002499999999999933,3.5406695348416424
