,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.9304580434063217,7.9622395828346e-05,0.0015,2.5768229166666595e-05,0.00024999999999997247,6.139513112637972
ii,0.880846221061009,9.958767361207956e-05,0.023,2.5342881944444005e-05,0.0,5.232124046452488
iii,0.037422614155835816,0.00023579427083311258,0.0115,-4.2100694444456335e-07,0.0,7.190218071910627
avr,0.8962782288127591,0.00015948784722202104,-0.0185,-2.5559895833333377e-05,0.0,3.7967676026780808
avl,0.2637671111881396,3.112847222162887e-05,-0.012,1.3096788194444406e-05,0.0,5.470079407519154
avf,0.22655450044623826,-0.0001880164930542819,0.0225,1.2458767361111189e-05,0.0,3.660656484606308
v1,0.08146961423826848,4.697916666803775e-05,0.0605,6.924913194444344e-06,0.0,11.862412008153303
v2,0.18638361587811744,0.00011009548610948935,0.0635,5.707465277777924e-06,0.0002500000000000002,57.02800608057469
v3,0.31556422002862805,0.00011819878472339908,0.074,1.0785590277777741e-05,0.000250000000000028,62.97786154115344
v4,0.08941222310179787,0.000158776041665975,-0.0445,-4.813368055555735e-06,0.0005000000000000004,21.483774926351067
v5,0.056891278211481204,-5.171006944444979e-05,-0.036,-2.5455729166667215e-06,0.00024999999999999935,11.29668994840706
v6,0.04092877785569262,0.0003019184027770638,-0.009,1.3172743055555663e-06,0.0,7.108080764817359
vx,0.0719433267128174,7.473524305598915e-05,0.0295,-5.92664930555564e-06,0.0,7.577395657944041
vy,0.024086119951546626,-0.0002794748263888225,-0.015,-1.19574652777779e-06,0.0,3.8450050350716185
vz,0.017440928369626952,6.760850694445884e-05,-0.013,-4.904513888889795e-07,-0.0002500000000000002,3.8437971204615096
