,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.009134285104210257,0.00010750868055577485,-0.009,-1.6644965277777297e-06,0.0,1.3756888881223932
ii,0.018088735969157388,0.00021405381944430388,-0.0075,-4.774305555555793e-07,0.0,1.9046655426278587
iii,0.014572741361757669,0.00015978298611089308,-0.0095,1.1827256944443869e-06,0.0,1.446085864925177
avr,0.009964332060305928,8.765624999996259e-05,-0.0035,1.0611979166666424e-06,0.0,1.391306058158036
avl,0.007337833588773153,0.00024776909722220875,0.0065,-1.42361111111103e-06,0.0,1.2829518007882494
avf,0.014018493456000265,4.2222222222476094e-05,-0.016,3.6241319444441126e-07,0.0,0.8673825397200003
v1,0.01619552538345759,9.157552083350773e-05,0.0135,3.276909722222246e-07,0.0,7.3602791541242425
v2,0.06694180597855223,-0.00015222656250003132,0.0505,-1.367187499999393e-07,0.0002500000000000002,40.1559824462952
v3,0.02402164846959265,-0.00029744357638895576,0.033,-5.750868055554853e-07,0.0,13.90621933663549
v4,0.015193190009538558,-0.00021239583333297266,0.0005,1.935763888888913e-06,0.0,3.084729161027201
v5,0.012770714855468407,-0.0001902951388888473,-0.0175,-6.705729166665499e-07,0.0,2.92383565008961
v6,0.015419529537462267,7.062065972259139e-05,-0.026,-2.892795138888856e-06,0.0,2.4897164501378093
vx,0.010991226930729731,0.00010499999999988471,-0.013,-1.7664930555554466e-06,0.0,2.0657323445037004
vy,0.043828489256399275,4.398871527549656e-05,-0.0185,-3.934461805555591e-06,0.0,1.0548413403840295
vz,0.005056339599039508,-6.811197916700526e-05,-0.002,6.727430555555272e-07,0.0,0.80061989653929
