,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.17883706278440775,1.4322916683597697e-06,0.0035,3.908203125000021e-05,-0.00024999999999997247,1.333081097487068
ii,0.04258310968723008,-0.00010364583333269528,0.01,1.4322916666666758e-05,0.0002500000000000002,10.692873603513808
iii,0.13030440865745715,-0.00010324218749840872,0.014,-2.4759114583333508e-05,0.0004999999999999588,16.425616393173662
avr,0.07813417365585898,4.937499999931963e-05,0.0075,-2.6699218750000173e-05,0.0,1.9091407172712895
avl,0.14392494727547292,5.4335937500566016e-05,-0.004,3.1920572916666764e-05,-0.0002500000000000002,6.102507240235572
avf,0.041672812786972296,2.0078125000292086e-05,0.0065,-5.214843750000017e-06,0.0002500000000000002,13.257010072955795
v1,0.006051682053384256,-0.0002199609375001074,-0.005,4.869791666666752e-06,0.0002500000000000002,1.0027829473641081
v2,0.043115632394811934,3.912760416700558e-05,0.026,1.0130208333333311e-05,0.0002500000000000002,17.705514658966155
v3,0.09292620672864674,-0.00030997395833328096,0.0595,2.4023437500000296e-06,0.0005,47.20031102498533
v4,0.1456481761586689,6.8893229166454e-05,0.0685,1.7070312499999775e-05,0.0005000000000000004,38.031368912626576
v5,0.06672264061683733,4.6718749999940505e-05,0.0465,1.0227864583333475e-05,0.0004999999999999978,22.78162439937389
v6,0.03304668813132638,-0.0002544401041672297,0.014,1.273437500000003e-05,0.0002500000000000002,4.426291497102989
vx,0.019524392022502075,-0.0004335937499999413,0.026,-3.385416666666672e-06,0.00024999999999999675,3.5567579359738435
vy,0.04812979629840409,6.315104166689638e-05,-0.001,-1.2259114583333379e-05,0.0002500000000000002,12.444929378828105
vz,0.01653038013365332,-7.605468750004072e-05,-0.026,-3.6067708333334306e-06,-0.0004999999999999987,8.285302771723025
