,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.04546102410177141,3.0955237809305476e-05,0.0095,-1.918558144185605e-06,0.0005000000000000004,18.78439502905347
ii,0.08462434975180577,-6.057310935573021e-05,-0.0585,2.8809619038096784e-06,0.0,9.491482625239616
iii,0.0711033774204567,-0.00022342349098471232,-0.067,4.793270672932551e-06,-0.0002500000000000002,15.857099191433747
avr,0.04725348379319391,0.00025692847381936673,0.017,-4.770356297704705e-07,-0.00024999999999999675,8.458118989194464
avl,0.0371378343967501,-0.0002546786987964526,0.018,-3.3538312835382395e-06,0.0005000000000000004,16.01991040660349
avf,0.06648607899358389,-0.00014149001766303613,-0.0715,3.830866913308681e-06,0.0,7.874349184101313
v1,0.16760885894629787,-0.0002645443788956994,-0.0275,-3.183015031829958e-06,0.0,111.58815014194778
v2,0.18169731598564925,0.0002523830950235274,-0.0575,1.8206512682066062e-06,-0.0004999999999999987,110.19048692447805
v3,0.07494698849613546,2.0985401459773885e-05,-0.0245,-4.524547545245525e-06,-0.0002500000000000002,32.32533192570348
v4,0.05901227362134244,1.923557644191809e-05,0.0115,2.9247075292470717e-06,0.0002500000000000002,8.166130152333754
v5,0.07720397551453663,9.83693297337979e-05,-0.0325,-4.6537012965371295e-06,0.0005000000000000004,12.909824541544683
v6,0.22436128962167012,0.00016284204912813132,-0.1565,-8.759540712595484e-06,0.000499999999999997,12.065369799706879
vx,0.10638976648732097,2.3772622737245555e-05,-0.0855,-4.67661567176621e-06,0.0005000000000000004,17.23704924041426
vy,0.08063990022608274,0.00014161500516746543,-0.107,6.630586941305872e-06,0.0,8.814521023509787
vz,0.05447275865253249,-2.1377028963664714e-05,0.0125,-2.918458154184538e-06,0.0,31.169961614133097
