,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.2639193319700583,-3.7842049130090256e-05,-0.0645,2.168533146685277e-06,0.00024999999999997247,3.386795410295413
ii,1.2352928733687496,-7.615488452208112e-05,0.2245,1.7210778922107877e-05,0.00024999999999997247,1.8560661649961239
iii,0.9548159327265051,-0.00016162133786585064,0.4145,1.503807952538075e-05,0.0,1.447738214774988
avr,0.5108081888785102,-0.0003576808985854968,0.0875,-9.692780721927882e-06,-0.00024999999999997247,2.2401650357177147
avl,0.3005955907740921,0.00011011815485247456,-0.149,-6.426440689264366e-06,0.0,1.8640596665644464
avf,1.0290651504592054,0.00012315851748011041,0.323,1.612547078625479e-05,0.0,0.8499829029136758
v1,0.14441819460488892,-0.0003462945372144273,0.0485,-6.845148818451619e-06,0.0,7.8705427575679385
v2,0.19011598165774515,0.00019346815318522888,0.0265,-4.366230043662449e-06,0.0002500000000000002,80.4422537759277
v3,0.20929378148338926,6.305202812965563e-05,0.033,-6.990967569909643e-06,0.0002500000000000002,80.35269410443374
v4,0.29513360383994486,-0.00031378112188426354,0.057,-1.1228043862280385e-05,0.0005000000000000004,45.55643423300257
v5,0.5133348313913608,-0.00024400893244447717,0.0165,-1.5554694530546827e-05,0.0002500000000000002,6.586708286460295
v6,0.45558797422948427,0.0001572676065749898,0.0225,-1.433398326833997e-05,0.0,2.2914555880791045
vx,0.06878302545655014,-0.00010893493983909072,-0.054,-7.853381328533922e-06,0.0002500000000000002,3.3203363804257577
vy,0.6419200416409729,8.945355464636356e-05,0.195,1.3388244508882626e-05,0.0,0.841609256311544
vz,0.03703484536370033,0.00020191730826866602,0.0035,4.395393793953891e-06,-0.0002500000000000002,13.817773303476887
