,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.045448840326635424,1.9570312500068673e-05,-0.0325,-8.587239583333286e-06,0.0,24.259228205779984
ii,0.02698270964700908,0.00010774739583363011,0.014,2.2526041666667533e-06,0.0005000000000000004,11.259264830998257
iii,0.11984447546353931,3.6692708333672906e-05,0.0665,1.080729166666676e-05,0.0002500000000000002,57.03844569532478
avr,0.006246642226603031,-6.470052083330135e-05,0.0145,3.1705729166665575e-06,0.0,2.502793550951408
avl,0.07586680193154054,-5.690104166646107e-05,-0.047,-9.700520833333256e-06,-0.0002500000000000002,38.316837669822156
avf,0.062068261202575505,9.649739583317587e-05,0.045,6.536458333333351e-06,0.0002500000000000002,27.92079803610241
v1,0.05361780320263662,1.1432291666688333e-05,0.02,1.093749999999975e-06,0.0002500000000000002,32.186447687441664
v2,0.14883873312603876,-0.00012000000000046335,0.0205,-2.3997395833333526e-05,0.0002500000000000002,86.55982895919101
v3,0.20034093450178975,-0.00011873697916698745,0.0395,-3.259114583333333e-05,0.0002500000000000002,98.6900491923239
v4,0.1245395776195175,0.00019342447916646032,0.021,-3.2285156250000284e-05,0.0005000000000000004,38.265123590399575
v5,0.09711264648745725,-0.0001402083333338025,0.008,-2.156901041666656e-05,0.0005,23.146262419581802
v6,0.06381224259470389,-6.421875000011307e-05,-0.014,-1.684895833333341e-05,0.0,17.61333994160282
vx,0.058195919022350724,0.00029270833333313375,-0.0535,-5.878906249999806e-06,0.0,23.16627453287426
vy,0.05539101065885184,-0.00014005208333332317,0.0065,1.1223958333333307e-05,0.0002500000000000002,11.639156693229173
vz,0.08903710097274699,-0.0002480468750002605,-0.0375,1.4570312500000003e-05,-0.0002500000000000002,44.852662927669314
