,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.011080555666631105,0.00018238281250059854,0.0015,-1.7795138888889133e-06,0.0,0.46209518403337513
ii,0.32512396491884404,9.583767361330706e-05,0.2545,1.3563368055555494e-05,0.0,0.7624302568478434
iii,0.36615455023432925,0.00034969618055958137,0.2585,1.533637152777797e-05,0.0002500000000000002,0.8240488465248915
avr,0.07661053473312973,-1.9205729165383475e-05,-0.1195,-5.891927083333379e-06,0.0,0.4318927555308219
avl,0.10734935773681861,0.0001979817708332491,-0.112,-8.552517361111174e-06,0.0,0.497402824085156
avf,0.3428518440810796,-1.4466145833888217e-05,0.2695,1.4453125000000048e-05,0.00024999999999997247,0.5884926340540306
v1,0.11592815447351536,-0.0002853125000004376,-0.1555,-9.270833333333428e-06,0.0,0.4630810486631491
v2,0.12022773129418624,-0.00012865017360983827,-0.1315,-8.554687499999731e-06,0.0,3.4597741570917093
v3,0.1735633044552886,0.0002082031249991177,-0.127,-1.1888020833333275e-05,0.0,2.0238906922296036
v4,0.10425456051079648,6.930989583384215e-05,-0.1055,-9.279513888888877e-06,0.0,0.3934742004673554
v5,0.12604957559593577,-0.0001392361111099317,-0.155,-1.0575086805555533e-05,0.0,0.7737347833457282
v6,0.04274156992916656,0.00015820746527735793,-0.0635,-8.263888888889053e-06,0.0,1.0475950351198093
vx,0.01816619713808052,-0.0002339453125001494,0.008,-5.598958333332973e-07,0.0,0.463619307821201
vy,0.3485551947005015,0.00013466145833495387,0.2415,1.603515624999982e-05,0.0002500000000000002,1.054974892885044
vz,0.006020844616532679,-0.00011296875000086787,0.0045,-2.562934027777853e-06,0.0,0.2697377795371301
