,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.01822133222541621,0.00017052517361137702,-0.024,-1.1024305555555475e-06,0.0,3.7424846185628544
ii,0.023301508151137493,-0.00015292968749953674,0.005,3.871527777777678e-06,-0.0002500000000000002,5.047353857649974
iii,0.04769135251838103,0.00028984375000011873,0.0325,4.9674479166665334e-06,-0.0002499999999999998,14.819717912641737
avr,0.008836067601543202,0.00022138888888862,0.0105,-1.3888888888888877e-06,0.0,0.9174997453518562
avl,0.02713419410649886,0.0002020442708334981,-0.0295,-3.0360243055556e-06,0.0,8.073684985102297
avf,0.03091002791034104,0.00028065104166663567,0.017,4.416232638888797e-06,-0.00024999999999999935,8.894356158055055
v1,0.019626677315970304,0.00020161458333282833,0.02,-3.3159722222224532e-06,0.0002500000000000002,5.722778334380895
v2,0.0896799388286822,0.00022047309027797021,-0.032,-5.3624131944445465e-06,0.0005000000000000004,46.26914361248112
v3,0.07756453272087382,-0.0002631944444444214,-0.0385,-5.256076388888975e-06,0.0007500000000000007,22.017601928243156
v4,0.10772815412046094,4.726562499725858e-06,-0.043,-5.6076388888889195e-06,0.0002500000000000002,13.647269674996469
v5,0.0534439250410885,-0.00010716579861116805,-0.0285,-7.530381944445149e-07,0.0,7.635159081985769
v6,0.024492387193952136,-0.00014468315972217483,-0.004,-4.3185763888896077e-07,-0.0002500000000000002,3.1738102735666893
vx,0.04190878585471774,7.683159722166661e-05,-0.013,-2.910156250000027e-06,0.0,4.631679543238107
vy,0.0223586977975232,1.8802083333163246e-05,0.0195,2.9774305555554406e-06,-0.0002500000000000002,6.005956173804533
vz,0.015041574548714798,0.0001063107638890912,0.0055,-5.881076388889453e-07,-0.0002500000000000002,1.3577115705572684
