,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.04117751422877459,-9.075520833482499e-05,-0.054,-4.277343749999889e-06,-0.0002500000000000002,4.061224528474077
ii,0.7985171103860006,0.00016721354165694368,-0.4475,-2.252170138888903e-05,0.0,1.7842465117943198
iii,0.6139099200866965,0.0002496874999977141,-0.315,-1.824435763888876e-05,0.00024999999999997247,1.1469801731220457
avr,0.26637498431044215,0.00020875868055398661,0.2535,1.3400607638888935e-05,0.0,2.7201325282943705
avl,0.12783523609167946,-6.996961805610575e-05,0.093,6.985677083333438e-06,-0.0002500000000000002,1.978491727605434
avf,0.6959149342863797,-4.166232638815335e-05,-0.395,-2.037977430555535e-05,0.0,0.293084613826554
v1,0.03778754419204791,8.740451388855926e-05,0.031,1.453993055555608e-06,0.0002500000000000002,4.507502190186534
v2,0.09212515165630132,-0.00014284722222348284,0.084,3.8498263888888675e-06,0.0002500000000000002,12.77116614507152
v3,0.06204681805571107,-0.00017693576388854842,0.0345,6.467013888889582e-07,0.0002500000000000002,12.115663992935986
v4,0.054610873013478826,-0.00014826388888864028,0.031,4.4053819444457706e-07,0.0002500000000000002,11.353838720100692
v5,0.05281778161110048,-4.8133680555547146e-05,0.028,-5.598958333332663e-07,0.0,9.147850246258711
v6,0.07182208642628937,-0.00014396701388859825,0.0785,4.073350694444475e-06,0.0,3.437727306540616
vx,0.024673833923924228,0.00028054253472221464,-0.0145,5.164930555555081e-07,0.0,3.096304510664016
vy,0.2873038761198821,5.921875000158417e-05,-0.218,-1.2918836805555527e-05,0.0,1.941336479864826
vz,0.028285314330636007,0.00022059461805576272,-0.017,2.560763888888853e-06,0.0,2.976416609846846
