,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.4972658458137163,-9.864013598474544e-05,-0.0075,1.911683831616852e-05,0.0,9.213937604316394
ii,5.921014932997655,-8.932440088350157e-05,0.4775,6.316660000666691e-05,0.0,3.7687937216473695
iii,3.164444663899028,1.0369796354644485e-05,0.40974999999999995,4.404976169049738e-05,0.0,1.75034801063679
avr,2.4180261875433327,9.43697296989875e-05,-0.2465,-4.114171916141684e-05,0.0,6.053459170681086
avl,0.35058127266837363,0.0001877687231262488,-0.14,-1.246333699963305e-05,0.0,4.539255268831027
avf,4.418410790457885,0.00021059560710401541,0.442,5.360922241109305e-05,0.0,0.4561721238909795
v1,1.7110603048123212,2.7018131517708336e-05,-0.2025,-3.507774222577793e-05,0.0,4.038531927173566
v2,1.354293153289767,-0.00019450138320344703,-0.17,-3.107605906076131e-05,0.00024999999999997247,14.360308380664591
v3,1.4181212589740673,0.00020516281704986353,-0.1805,-3.1792654067927095e-05,0.00024999999999997247,17.49141725628986
v4,1.4755135833933666,0.00022645235477003185,-0.16975,-3.2692564076925934e-05,0.0,14.994825528887807
v5,0.1652456976182643,0.00011664666866734855,-0.133,-8.888694463886739e-06,0.0,10.270053257347273
v6,1.5262716154568106,-0.00021937806219161102,-0.2525,-3.2696730326967386e-05,0.0,4.575859001136129
vx,0.04145771830878567,-0.00011478852114835686,-0.075,-2.7163950271639553e-06,0.0,8.125842027455743
vy,3.582817700338128,0.00013477818885987688,0.309,4.938881111888835e-05,0.0,1.1492889353984106
vz,0.031079652806749763,-0.00026895227144097596,-0.039,-3.6746325367462875e-06,0.0,2.5292131688774773
