,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.033518646423211396,0.0001213368055550189,-0.0015,5.815972222222225e-06,0.0,1.9204220533041627
ii,0.04063792422975628,-2.3007812500051226e-05,-0.038,4.194878472222164e-06,0.0,5.903840217862403
iii,0.03512520349733827,-5.4474826388743217e-05,0.0015,-1.6167534722221188e-06,0.0,2.3963090615465736
avr,0.028257272537476813,-0.0003012586805554602,0.0075,-5.008680555555522e-06,0.0,3.184931939533176
avl,0.024167326883208957,-0.000181753472221406,0.031,3.7217881944444202e-06,0.0,0.6298041083974694
avf,0.02950268931934395,0.00022391059027748888,-0.007,1.2890625000000906e-06,0.0,3.734636710388574
v1,0.053605874974749654,0.00014283854166636877,0.036,3.6176215277777416e-06,0.0002500000000000002,17.73621532702829
v2,0.08189072401019111,0.00015918836805555434,-0.031,5.970052083333422e-06,0.0004999999999999987,52.54235772032382
v3,0.08546373992888713,-0.00020405381944449202,-0.051,6.775173611111035e-06,0.0005000000000000004,51.08491291826357
v4,0.08071811304690542,0.0003065190972223915,-0.0465,5.776909722222301e-06,0.0005000000000000004,21.135898759626823
v5,0.06977007473272984,-0.0002484157986111932,-0.028,7.413194444444454e-06,0.0002500000000000002,9.008150980912923
v6,0.025521771956633722,0.0001620746527775585,-0.0185,1.4800347222222383e-06,0.0002500000000000002,5.411358018045773
vx,0.021867362431442643,0.00038646701388859886,-0.027,2.879774305555502e-06,0.0,4.58233285534957
vy,0.2641010543208245,-0.00021689670138740283,0.2065,3.2400173611111537e-06,0.0,8.05897461110305
vz,0.01437085748705781,8.969184027763443e-05,0.0005,-1.3281250000000458e-06,-0.0002500000000000002,3.6567637408790796
