,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,6.993972698059169,3.503212411165021e-05,0.033,9.94325285094653e-05,0.0,55.36943385736506
ii,8.503947725126727,-3.192842465368637e-05,-0.1495,0.00010439518627632182,0.0,45.32715997114365
iii,0.16787523354912792,3.784773935732479e-05,-0.0405,4.965375542196249e-06,0.0002500000000000002,14.657932465996662
avr,7.706964625937665,0.0002491710784965906,0.0625,-0.00010191929294356811,0.000250000000000028,46.680065623352796
avl,1.4549919422340034,-0.0001987182971463247,0.1335,4.7232217595964594e-05,0.0,23.68893614370001
avf,2.5874749003691475,-5.0382119202126e-05,-0.214,5.467076869557639e-05,0.00024999999999997247,16.156799301157907
v1,0.9553022152345462,0.0002918890712826937,0.0505,-5.354017415504734e-07,0.00024999999999997247,425.1012765480105
v2,1.6130669927943346,0.00011272244991136304,0.1495,-1.6755084957656552e-05,-0.0002500000000000002,1112.0368295294647
v3,1.4244302568018692,-0.00018820594214469713,0.1195,7.800015219541473e-07,0.0,702.5820585331495
v4,0.4646274587150904,0.0003399556459068183,0.0115,4.818615673953825e-06,0.0002500000000000002,174.60457822836648
v5,1.0350897419672085,4.560427013053003e-06,0.172,4.921075804189732e-05,-0.0002500000000000002,95.45145685735639
v6,1.0132831655128394,-0.00011374976899428074,-0.122,4.62701251263768e-05,-0.00024999999999997247,114.5698232505745
vx,0.12013436220528154,3.605400763153354e-05,-0.084,1.5572852685705785e-05,-0.0002500000000000002,80.83592378648372
vy,0.10504273320726562,0.00020231663169710274,-0.0255,9.232282822572656e-06,0.0,6.309638168065622
vz,0.29215107321868,-0.0001840966658336401,-0.0545,1.3425810168828454e-05,-0.0002500000000000002,219.11345883256672
