,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.01683910225008901,3.391927083285755e-05,-0.019,1.050347222222163e-06,-0.0002500000000000002,3.2873883922560236
ii,0.16011217805095931,3.473958333411736e-05,-0.1225,-1.1927083333333269e-05,0.0,1.0057139027389908
iii,0.22615273293232335,-1.7968750004192054e-05,-0.102,-1.2979600694444568e-05,0.0,5.574955555024877
avr,0.03194414799502835,0.00020740885416771626,0.0635,5.440538194444315e-06,0.0,0.9005119868617905
avl,0.08144218311514043,-0.00018146267361004648,0.0405,7.0095486111110035e-06,0.0,3.8146943188421134
avf,0.18891882451877726,9.288194444941627e-06,-0.114,-1.2454427083333059e-05,0.0,2.6507769581727048
v1,0.03528813761298954,0.00010732638888898254,0.0205,2.4761284722222507e-06,0.0,11.4394038668171
v2,0.0790370911097759,0.0002254991319441448,0.072,-6.228298611111032e-07,0.0002500000000000002,31.382833267705802
v3,0.0788736475312952,-0.0005377473958333302,0.0835,-1.2369791666664438e-07,0.0002500000000000002,34.53614002215593
v4,0.04988548195318683,-0.0003954904513887531,0.0455,1.736111111117112e-08,0.0,19.471870165809587
v5,0.11154430572327659,4.450520833360788e-05,-0.0445,4.021267361111066e-06,0.0,7.3807786153599
v6,0.012404298792649046,-3.5243055555615475e-05,-0.004,-1.8793402777777423e-06,0.0,1.8596963222629557
vx,0.08576126001020233,-0.00011404513888754966,0.037,4.8242187499999966e-06,0.0,1.1264495340859935
vy,0.13452798585142403,-0.00010490017361365614,-0.0765,-1.04665798611113e-05,0.0,1.3609830584601068
vz,0.03225822840106197,3.646701389075612e-05,-0.0205,2.5151909722222038e-06,0.0,7.085831163269492
