,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.009977082915955138,4.032552083289822e-05,0.0105,1.022135416666671e-06,0.0002499999999999985,1.1627464357497224
ii,0.04034773615784295,-0.0002160069444443822,-0.044,4.370659722222204e-06,-0.0002500000000000002,9.554782264770882
iii,0.03781946076906512,-0.00022129774305559982,-0.019,3.3485243055555115e-06,-0.0005000000000000004,9.057537793678625
avr,0.015723154992330575,-0.00017649739583347818,0.023,-2.7018229166666706e-06,0.0,2.9963058660751463
avl,0.013803683704863378,-0.0001205078124999687,0.01425,-1.158854166666625e-06,0.0002500000000000002,2.73260232283043
avf,0.03660391236371128,-0.00020161458333309865,-0.0315,3.86067708333335e-06,-0.0004999999999999866,8.886134539956188
v1,0.05193442357334749,0.00018692274305557143,0.0395,6.293402777778417e-07,0.0002500000000000002,14.74467899247583
v2,0.13093719247007268,0.00020610677083376925,0.0505,2.560763888888701e-06,0.0005000000000000004,50.95464597511777
v3,0.07023474260642816,0.0003549652777783543,-0.033,1.6731770833332985e-06,0.0005000000000000004,22.024211635586052
v4,0.06362240386292817,8.934027777738273e-05,-0.0055,3.0208333333332012e-06,0.0002500000000000002,12.516796903066451
v5,0.04526675496858994,-0.0001331987847220203,0.0005,3.836805555555534e-06,0.0,4.905967666687169
v6,0.021770273061344755,-2.1566840277643117e-05,-0.0225,8.029513888888345e-07,0.0,3.8726275649295574
vx,0.016424036831594643,5.004340277767973e-05,-0.0015,-2.074652777777779e-06,0.0,2.3624097769569157
vy,0.049838130569465726,9.14366319437699e-05,-0.026,-2.3654513888888106e-06,-0.0002500000000000002,9.031740476074813
vz,0.016787559147488133,-0.00012725260416727188,-0.0165,-2.7452256944445786e-06,-0.0002500000000000002,1.7904702495215925
