,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.08596657186549912,5.917741559278689e-05,0.091,-6.9576375695765104e-06,0.0,5.276763673115159
ii,0.05259475099692579,0.0001477143952274519,0.0,4.9724194247240905e-06,0.0,4.55513940077496
iii,0.20959761516925848,5.6348531818356175e-05,-0.124,1.1923807619238117e-05,0.0,0.8676065460288415
avr,0.01687541085409033,0.000181548511815416,0.019,9.915675099156686e-07,0.0,4.702205113413867
avl,0.13463050547319524,0.0002527413925291885,0.1385,-9.436556344365599e-06,0.0,1.9334505074847481
avf,0.10961327826484701,8.919941339518417e-05,-0.049,8.451238209512346e-06,0.0,1.378552839459513
v1,0.020203050461115916,-0.00017918624804279032,-0.021,2.4622537746225137e-06,0.0,2.2293513649918677
v2,0.033967524728211476,1.838566143382751e-05,-0.031,7.311768823117376e-07,0.0,14.50619556512514
v3,0.04833752837082948,0.00021471602839713276,-0.0475,-3.6454687864544924e-07,0.0002500000000000002,21.80530295616223
v4,0.06475943277248497,4.0629270406106645e-05,-0.0685,2.2768556477685256e-06,0.0002499999999999985,22.211348372566086
v5,0.057628930316111764,-1.212795387157513e-05,-0.05,7.707562577079196e-08,0.0,17.40276270240871
v6,0.033049147697980424,-7.764223577453703e-05,-0.0465,4.209995667099828e-06,0.0,5.773500857374884
vx,0.032804145756343536,-0.00017098706795965195,-0.0355,2.3997600239974578e-06,0.0,9.764298319202954
vy,0.307821849094751,0.00018923107689079765,0.07925,1.5454704529547198e-05,0.0,1.946712102695596
vz,0.01867454594731949,-0.0001569759690694723,-0.0125,-9.68653134686527e-07,0.0,3.788828619236149
