,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.14214715852245932,-8.132103456337552e-05,0.0675,-1.0861413858614035e-05,0.0,6.494256499113337
ii,2.3184223013417453,-0.00020611688830793248,0.3525,3.5192314101922665e-05,0.0,6.687655619670917
iii,3.405200871812938,-0.00015078908775115917,0.2505,4.6049561710494916e-05,-0.00024999999999986144,1.349421416781762
avr,0.37898648415413577,0.00012604572876222532,-0.209,-1.2159200746592255e-05,0.0,6.1159261109049865
avl,1.1940798303708269,-0.0002031171882738369,-0.101,-2.845340465953425e-05,0.0,1.9724920176463407
avf,2.8262641963876804,7.202613073503428e-05,0.29,4.0618854781189186e-05,0.0,3.1933248938382865
v1,0.05554506419585852,0.00012654984501404485,-0.041,-3.832950038329485e-06,0.0,3.0624477923299356
v2,0.8345065109299877,0.00023267673232192008,-0.1155,-2.7763890277639043e-05,0.00024999999999997247,37.59630229073206
v3,0.6393805061458291,9.640702596607597e-05,-0.077,-2.2374845848748407e-05,0.000250000000000028,58.71711408059558
v4,0.5633221607783768,-0.00016166716661203157,-0.0605,-2.010007332600076e-05,0.0002500000000000002,58.103774406735496
v5,0.7508350087139872,0.0001571801153266866,-0.08,-2.2683148351831555e-05,0.0002500000000000002,32.515742668325466
v6,0.5649528788910757,4.166250053304656e-07,-0.0365,-1.94834683198348e-05,0.00024999999999997247,11.158284403963465
vx,0.08009588331145495,-0.00011050561610579663,-0.033,7.520081325199426e-07,0.0002500000000000002,15.166426709069935
vy,3.989042404269076,-0.00025101239876143793,0.3265,4.999291737492887e-05,0.0,4.357445518963125
vz,0.021082755523571785,9.95400459955789e-05,0.019,4.487051294870504e-06,-0.0002500000000000002,10.281473848275592
