,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.13506060754222354,0.0001772947705244148,-0.0405,-8.497066959970622e-06,0.0002500000000000002,4.993277119397969
ii,0.26668264336923686,-4.725360797147804e-05,-0.071,-1.3263257007632918e-05,0.00024999999999997247,14.424108935204496
iii,0.032166179825748445,-0.00024987501249977117,-0.016,-4.762023797620269e-06,0.0,2.8433504624165424
avr,0.19282457474666623,0.00018453987934399443,0.049,1.0880161983801776e-05,-0.0002500000000000002,8.997333194515615
avl,0.016947769345066938,-5.7631736826161206e-05,-0.012,-1.8643968936439546e-06,0.0,0.31364402182324574
avf,0.11565931111147652,-0.00014102756390993142,-0.0525,-9.013681965136973e-06,0.00024999999999997247,7.385434343478263
v1,0.05290638051774494,-3.660467286578753e-05,0.0245,-2.403926274039246e-06,-0.0002500000000000002,10.520408955586488
v2,0.12669570259071777,-0.00022899793353920063,0.035,-1.1727993867280254e-06,0.0,28.37453598030172
v3,0.4182445487287564,-0.0001118429823711827,-0.002,-8.257507582575081e-06,0.0002500000000000002,106.23334890842992
v4,0.2232442122110716,0.0002376262373762177,-0.088,7.470086324700868e-06,0.0002500000000000002,162.3563605872584
v5,0.18717099821763977,0.0002958829117085853,-0.1555,6.1306369363061215e-06,0.0002500000000000002,99.25862925525213
v6,0.10883400099558185,-0.000327254774523132,-0.094,-3.812118788121005e-07,0.0,30.10630215003485
vx,0.11528666224097664,-0.00012577908875899466,-0.063,8.372079458720747e-06,0.0,28.910735503877834
vy,0.06520937752920693,0.00010385628104064885,0.0205,-4.941172549411728e-06,0.0002500000000000002,9.199125916106178
vz,0.09230664627633893,-0.00013430740259280218,-0.004,-3.355914408559095e-06,-0.00025,39.624786642610935
