,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.24703373484907565,0.00015822048611144424,-0.0615,1.2601996527777882e-05,0.00024999999999997247,3.999406457162573
ii,0.06395927949444011,-0.00023505208333271256,-0.04,4.9631076388888424e-06,0.0,3.070434269850916
iii,0.0843665417698588,0.00010210937500270686,-0.0065,-7.645399305555394e-06,-0.0002500000000000002,5.694780805026443
avr,0.1344049622316111,3.5711805553513554e-05,0.0685,-8.786892361111e-06,0.0,2.4133318885175465
avl,0.14971029935564195,3.065104166735418e-05,-0.0355,1.0125868055555287e-05,0.0002500000000000002,3.233635192292764
avf,0.012359557032876072,-0.00030920572916640527,0.0005,-1.3433159722221118e-06,0.0,3.7923796434025556
v1,0.058721621965930657,0.0001749696180557946,0.024,4.7309027777785175e-07,0.0,24.203492509570395
v2,0.07682935603317173,0.00018415364583323257,0.0035,8.897569444447656e-08,0.0,40.51114441587039
v3,0.05584737618882274,0.0001534201388889963,0.007,-2.0616319444447192e-07,0.0002500000000000002,26.07755600595518
v4,0.03891858208116066,-0.0001694878472223316,0.0045,4.340277777779462e-08,0.0002500000000000002,14.57181493492321
v5,0.03486520645212237,2.1085069443509037e-05,-0.034,4.761284722222149e-06,0.0002500000000000002,2.075342181691214
v6,0.03182203376846284,9.6189236110015e-05,-0.024,4.509548611111113e-06,0.0,1.5283313079222929
vx,0.016115612587657688,1.6111111110886834e-05,0.001,3.5720486111111588e-06,0.0,2.3310868432561493
vy,0.011752345856126077,-8.085503472205035e-05,-0.002,-3.9930555555555114e-07,0.0,2.8129956461781105
vz,0.04547085644530745,-0.00018125000000059822,0.0355,3.6371527777778043e-06,-0.0002500000000000002,9.964357191772322
