,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,8.718693768528276,-0.00016068556701709317,0.196,0.00010255670103092587,0.0,6.010975630675485
ii,8.637198231067995,-0.00026990206185356294,0.168,0.0001019278350515468,0.0,17.480513645745532
iii,0.01727144237177516,-0.00015062371134028917,-0.026,-6.262886597938734e-07,0.0,4.900989373391968
avr,8.673620909620693,-3.4701030947801124e-05,-0.1695,-0.00010224484536082524,0.0,10.059028117328067
avl,2.2086935619011108,0.00022409278350315825,0.1415,5.158762886598024e-05,0.0,1.2777157539858242
avf,2.147576608291394,-0.0001899536082480431,0.07425,5.065206185566996e-05,0.0,9.81292994820392
v1,0.41845669244462647,0.0001350876288685664,0.0335,1.7853092783505173e-05,0.0,19.464478133339174
v2,0.9099893785884137,-0.00019913917525780255,0.13875,2.6162371134020422e-05,0.0,136.15053347707897
v3,0.41405695958471134,2.66288659776252e-05,0.107,1.5605670103092668e-05,0.0,102.10732333558289
v4,0.1238591816442349,0.00029325773195949497,-0.0405,4.75000000000008e-06,0.0,56.35878812273819
v5,0.24175299875340125,5.045360824753667e-05,-0.0575,6.6082474226803275e-06,0.0,56.20290880172947
v6,0.9118382014123828,0.00016107731958752645,0.117,2.9345360824742055e-05,0.0,41.82726151485398
vx,0.12975763313225222,0.0002465257731957871,-0.0585,3.927835051546428e-06,0.0,33.000386940485534
vy,0.045226219489397326,0.0001078505154641397,-0.007,3.5824742268041967e-06,0.0,11.188942633169685
vz,0.10749237735921978,0.00011976804123810714,0.009,9.739690721649232e-06,0.0,15.667817455871354
