,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.03574189556008846,-0.00022276041666671436,-0.0245,1.4908854166667217e-06,0.0002500000000000002,19.34446993200171
ii,0.05914711911091498,0.00016985677083238265,0.0345,1.5299479166666577e-05,0.0005000000000000004,8.942366999025094
iii,0.09889300829059293,-0.00012981770833376472,0.0345,1.378906249999974e-05,0.0,39.072384543396254
avr,0.02271198814939737,-0.000289713541666857,0.0025,-8.378906249999845e-06,-0.000499999999999997,4.379974326190713
avl,0.052540781524358614,0.00021148437500058455,-0.027,-6.145833333333292e-06,0.0,26.975956240574245
avf,0.0700759057255548,2.1432291666005696e-05,0.0395,1.4524739583333368e-05,0.0002500000000000002,19.167810095028454
v1,0.03214191260393393,0.00025048177083337997,0.021,-9.11458333333418e-07,-0.0002500000000000002,13.67873857539011
v2,0.24650806968678932,0.00027475260416664154,0.0845,-4.401041666666438e-06,0.0005,125.30449849255157
v3,0.3193894212124035,0.00015440104166637386,0.0745,-9.889322916666312e-06,0.0007500000000000007,159.1289710344442
v4,0.1498237972982034,-6.429687499996496e-05,0.024,6.959635416666743e-06,0.0005000000000000004,40.11591645332358
v5,0.27503404981057405,-0.0002837630208328333,-0.046,1.8880208333341462e-07,0.0002500000000000002,92.34914197068812
v6,0.3607657042218153,-0.00013641927083341858,-0.078,3.391927083333577e-06,0.0002500000000000002,146.37025147050508
vx,0.23374263612576598,3.1979166666653196e-05,-0.066,3.6002604166668462e-06,0.0002500000000000002,98.94337658495505
vy,0.17847946424958022,3.5195312499946335e-05,-0.074,1.2428385416666517e-05,0.0005000000000000004,51.08340519552483
vz,0.03964114377305007,-0.00011225260416671887,-0.0355,1.0416666666669197e-07,0.0,19.36147206210319
