,channel_variance,mean_amplitude,median_amplitude,mean_derivative_value,median_derivative_value,power_spectral_density_max
i,0.10425354613839477,0.0001415770920514226,0.1505,-2.0707798635108422e-06,0.0,1.8505532690426587
ii,0.20483912345749386,-8.193255422333236e-05,0.0935,-7.599371385903012e-06,0.0,7.161329012656855
iii,0.040874021267359596,-0.00023842620730334623,-0.019,-5.532932779967649e-06,0.0,4.298979566168582
avr,0.1443265940020888,-3.306301769304329e-05,-0.137,4.827478423950066e-06,0.0,3.3106349173663516
avl,0.021315151395341167,-0.00022180353204704736,0.0295,1.7321617726222816e-06,0.0002499999999999998,1.0654954781697474
avf,0.09679108037841849,9.023303870518763e-05,-0.0005,-6.566152082935293e-06,0.0,5.279828930398793
v1,0.04064446336880902,0.0002582483893931064,0.013,3.935349992185769e-06,0.0,18.733018839482437
v2,0.10774665685488459,2.8930140483081083e-05,-0.009,2.7827461058919447e-06,0.0,56.001728717912115
v3,0.054862250285513475,-0.0003628206018713421,0.021,-2.3225728028899184e-07,-0.0002500000000000002,24.072747108220128
v4,0.02101458170752901,1.7781791029212928e-05,0.01,2.5396356816643197e-07,0.0,1.7569021143701455
v5,0.03207500852761348,-0.0001391112577487945,-0.0285,-6.750655529893005e-07,0.0002500000000000002,4.210538307465341
v6,0.03312944756624068,8.96469689339294e-06,-0.0295,7.336725302585985e-07,0.0002500000000000001,6.982380615210725
vx,0.0271442744867439,0.00023368989528872852,-0.0035,2.0425616892702403e-06,0.0,3.4988749265850223
vy,0.02249507598451762,4.840068070904643e-05,-0.017,-2.35947349228125e-06,0.0,5.02088432798259
vz,0.01457695103056131,-0.0001259311997498876,-0.0095,-3.4730060603887686e-08,0.0,8.183643265178276
